empleado_id,bienestar_laboral,horas_extra_semana,apoyo_equipo,reconocimiento,autonomia,dias_home_office,bono_anual_pct,reuniones_semana,mensajes_chat_dia,dias_vacaciones_tomados,distancia_oficina_km,cursos_completados,meses_en_el_rol,tickets_cerrados_mes,emails_enviados_dia,proyectos_activos,dias_licencia_medica,horas_capacitacion,puntualidad_pct
1,66.2,3.2,7.7,5.1,7.4,0,11.31,9,43,10,8.9,1,32,15,11,2,4,7.4,95.9
2,56.8,4.9,6.5,4.2,3.8,2,12.6,8,45,18,8.0,5,49,16,19,3,2,9.6,93.5
3,54.8,0.2,5.4,6.1,6.7,2,8.29,12,41,21,14.7,2,39,17,15,1,2,1.7,95.5
4,59.8,3.0,7.8,6.2,7.2,0,10.47,7,43,16,6.8,0,17,14,9,2,6,11.5,86.4
5,60.7,5.3,5.0,5.3,7.7,5,16.94,10,46,10,8.3,4,24,15,9,1,5,6.1,94.1
6,57.5,4.1,6.2,6.1,5.7,3,10.97,12,36,9,3.2,3,19,11,17,1,1,3.3,90.8
7,58.4,1.4,7.7,5.5,4.3,2,6.38,10,51,0,38.6,0,47,11,10,2,2,6.8,92.9
8,69.9,2.5,4.3,5.7,7.7,3,8.22,11,49,3,6.0,7,53,12,9,3,3,18.9,98.1
9,63.4,1.8,5.0,6.2,5.9,4,11.07,7,47,12,22.8,3,48,22,9,1,2,5.9,94.7
10,71.3,1.0,5.1,4.3,9.1,2,10.97,8,43,0,11.7,1,7,14,19,4,1,4.8,97.0
11,54.0,1.8,7.2,6.1,4.9,2,5.61,11,40,4,12.4,1,47,11,11,2,1,6.4,100.0
12,54.8,5.2,6.4,6.7,9.3,3,6.87,10,39,2,2.0,4,13,14,14,6,3,13.3,90.7
13,46.4,11.1,6.6,5.5,4.9,5,8.47,10,38,6,9.2,2,31,13,13,5,3,3.1,94.0
14,51.9,5.0,6.5,5.0,9.2,0,9.22,6,32,1,8.5,2,43,13,10,2,0,1.2,94.0
15,65.5,3.4,5.9,7.2,6.8,5,13.58,12,50,21,4.2,2,6,13,13,2,2,6.3,89.6
16,52.8,2.7,7.2,4.9,7.9,3,8.16,10,34,8,5.6,0,18,7,14,4,0,18.9,91.4
17,46.4,4.5,5.2,4.7,7.4,5,4.06,13,32,17,11.8,2,49,7,10,2,4,10.7,88.8
18,61.9,8.1,7.0,3.8,8.1,1,10.5,7,40,5,15.4,1,21,11,12,5,1,4.9,99.7
19,66.2,6.0,7.8,5.8,7.1,2,7.58,9,42,4,6.4,2,35,9,9,6,0,2.2,87.9
20,59.7,4.1,7.3,6.4,7.8,2,4.12,14,50,19,16.0,4,24,18,19,1,2,7.6,93.7
21,59.4,1.3,7.9,5.8,5.0,4,8.48,8,45,14,6.7,1,41,12,5,4,3,2.8,99.2
22,48.5,1.4,4.5,4.8,6.5,0,7.71,9,45,18,6.9,2,30,9,18,6,2,8.9,85.0
23,67.2,7.2,5.5,4.3,4.9,4,13.2,8,44,10,16.2,4,38,13,6,2,2,3.7,90.1
24,46.6,10.4,6.9,6.4,6.6,0,6.88,6,40,21,10.9,8,18,13,9,1,2,13.1,99.6
25,50.1,10.6,4.0,3.6,7.0,1,11.68,8,38,4,28.8,1,46,17,10,1,2,5.1,93.5
26,61.0,3.4,8.0,6.6,6.5,0,5.3,8,33,12,11.5,2,22,13,13,6,3,7.5,81.7
27,49.2,10.5,6.7,5.3,8.2,1,6.26,10,33,10,4.9,2,5,17,7,6,3,16.3,89.4
28,73.1,3.1,6.4,5.2,7.8,4,11.65,16,38,13,11.1,0,10,17,14,5,1,10.6,92.9
29,66.1,4.4,7.9,6.9,7.5,2,8.88,9,51,20,0.3,1,5,9,6,3,1,1.2,96.8
30,55.4,3.5,6.1,5.7,8.0,5,8.77,9,30,19,0.1,1,6,20,9,2,1,3.4,87.7
31,55.3,1.8,5.1,5.1,8.7,0,7.26,12,36,4,3.2,1,26,9,17,2,1,9.8,91.0
32,45.0,3.5,6.0,4.2,5.6,2,6.03,9,60,16,21.1,4,36,11,5,4,2,9.9,96.2
33,72.7,2.5,6.0,7.1,6.1,3,8.26,10,40,14,10.8,3,5,12,15,3,2,3.4,100.0
34,61.8,2.6,6.0,7.4,6.7,4,9.08,8,43,0,17.0,3,33,22,13,6,1,7.1,92.4
35,44.1,3.2,6.4,6.0,5.3,0,3.23,12,46,18,0.9,2,51,6,5,3,2,7.3,93.6
36,67.3,1.8,8.1,6.4,5.9,3,7.94,7,34,3,1.9,2,18,12,10,1,1,1.4,81.9
37,50.6,4.5,5.8,6.5,4.5,0,9.3,7,44,11,3.0,2,20,20,8,4,4,2.4,79.5
38,49.5,5.2,6.0,4.5,4.9,1,4.4,9,41,16,4.8,2,46,23,5,5,2,4.9,98.4
39,68.5,4.8,6.6,6.3,8.5,4,13.12,11,41,21,1.4,3,3,9,6,5,3,10.6,84.0
40,56.2,14.4,7.7,7.9,6.2,1,7.49,7,40,19,5.0,2,57,11,7,6,1,3.0,91.9
41,66.4,5.2,5.3,6.6,3.9,4,13.97,11,58,20,4.3,2,11,12,13,4,4,6.0,91.2
42,62.6,0.9,5.9,5.5,6.9,3,4.02,15,42,10,16.3,3,40,12,12,1,1,3.6,86.2
43,59.9,1.7,7.3,4.0,6.0,4,8.86,7,30,11,4.3,4,56,13,7,2,2,11.1,91.1
44,48.6,4.5,6.3,5.3,3.8,2,6.4,6,49,19,16.4,2,49,15,12,2,0,9.1,92.0
45,60.6,2.1,7.6,5.6,5.5,1,11.6,7,41,4,6.4,3,8,14,10,5,3,17.3,92.4
46,56.7,4.2,5.8,7.2,6.1,2,10.25,7,39,10,9.5,4,42,17,11,2,1,1.5,95.1
47,58.9,2.2,7.2,6.5,6.9,4,6.48,9,35,18,4.2,2,2,10,11,1,1,9.0,84.6
48,55.7,2.2,5.1,4.4,5.7,3,5.5,6,27,16,5.9,2,5,11,13,5,1,10.3,87.0
49,51.2,4.3,5.2,6.4,8.1,3,4.71,8,37,13,15.7,0,28,8,8,1,3,7.8,100.0
50,56.4,2.1,6.9,6.2,6.2,5,4.41,7,37,12,8.7,2,20,15,11,4,2,10.7,89.9
51,50.3,3.2,5.9,5.6,9.8,0,4.61,6,38,17,3.3,0,51,13,15,4,2,4.6,93.6
52,53.4,4.8,6.4,5.5,7.9,2,9.28,8,45,19,13.8,3,38,15,20,4,2,0.8,95.9
53,44.9,1.7,6.7,5.3,8.6,0,3.55,11,44,13,0.4,2,43,13,12,5,4,6.1,91.5
54,54.8,3.4,5.9,6.1,8.4,3,3.64,4,39,17,6.4,1,39,15,11,4,3,0.8,86.8
55,37.4,4.8,6.3,4.8,4.8,5,2.65,10,42,5,4.1,4,37,12,13,5,2,7.4,86.3
56,62.6,4.9,5.1,6.7,8.4,4,11.57,13,49,17,6.6,2,39,19,11,4,2,10.0,87.6
57,61.2,1.7,6.0,5.1,10.0,4,9.93,8,47,10,8.4,1,14,10,10,5,1,17.3,90.1
58,53.8,1.6,5.6,4.6,9.0,5,9.81,11,45,11,7.0,0,21,12,4,5,1,13.2,100.0
59,72.9,1.1,8.1,7.4,7.1,0,13.16,7,47,9,32.0,5,20,10,11,4,2,4.8,100.0
60,64.5,4.6,7.5,5.7,5.1,3,11.51,7,33,12,14.3,3,47,12,16,2,3,2.4,92.1
61,67.0,2.9,9.1,6.3,8.2,1,10.36,11,36,3,1.2,1,49,13,7,1,2,5.4,92.2
62,81.1,7.1,8.5,6.9,5.9,4,11.94,11,41,17,6.0,1,3,10,16,2,1,4.3,89.7
63,83.2,4.9,6.4,7.3,7.0,3,13.78,7,59,18,2.0,3,52,11,7,6,2,8.4,86.9
64,48.2,8.5,3.3,4.7,7.9,4,11.3,7,42,8,10.7,1,20,9,9,6,3,7.4,92.5
65,66.3,6.9,5.5,6.1,8.2,3,9.95,7,42,12,4.8,2,43,21,10,3,0,4.2,89.1
66,49.1,9.0,6.4,5.7,5.4,4,8.54,6,22,17,8.5,2,48,15,8,2,2,2.6,98.2
67,72.0,1.6,5.1,4.8,7.9,3,8.86,9,45,9,7.0,2,36,17,6,2,1,3.9,100.0
68,61.1,3.6,7.9,9.2,7.3,3,2.99,10,46,16,4.3,1,34,13,8,2,1,17.0,89.8
69,54.6,4.2,7.1,7.4,6.2,0,8.32,11,37,5,1.9,2,26,9,10,4,3,8.9,90.3
70,50.5,3.5,6.6,4.4,6.1,4,9.17,9,41,6,18.6,1,9,13,12,5,0,7.2,95.6
71,55.0,1.1,5.7,7.8,7.1,1,6.08,9,43,18,2.5,3,23,12,21,6,1,5.2,96.5
72,61.1,1.6,7.6,5.3,9.0,2,11.0,6,36,12,16.3,2,21,8,6,6,6,2.2,95.4
73,54.9,4.5,5.8,5.4,6.1,3,9.86,10,45,9,4.8,1,53,23,7,5,0,8.1,92.2
74,87.1,1.6,7.2,7.2,7.9,4,12.13,11,34,12,2.2,2,48,14,11,4,1,4.7,95.3
75,42.7,2.3,6.6,6.5,5.4,2,2.95,7,35,4,10.9,1,58,5,9,5,2,5.9,97.6
76,51.9,2.4,5.7,6.3,5.8,1,5.98,9,43,19,6.3,7,18,18,14,3,2,8.7,99.4
77,56.3,7.3,7.3,5.2,6.5,5,10.41,6,46,20,20.3,0,36,12,10,4,0,14.9,85.9
78,71.9,3.9,6.6,3.5,6.4,1,12.54,11,38,15,2.1,2,11,12,13,4,2,7.9,97.4
79,67.8,2.4,8.2,6.9,6.4,4,13.32,3,30,10,13.3,4,43,11,12,3,3,10.5,93.7
80,58.2,2.4,6.6,4.6,5.5,0,14.34,8,47,13,6.0,2,36,13,10,3,1,7.0,85.4
81,76.5,3.2,7.5,7.7,5.7,1,13.5,14,44,3,8.0,1,39,8,7,3,1,8.5,93.7
82,34.7,10.1,5.3,6.1,6.0,4,7.14,10,38,16,2.6,2,53,11,10,1,4,5.5,100.0
83,54.1,2.3,6.6,4.9,7.5,5,9.82,8,35,17,7.3,3,44,8,11,4,2,4.4,92.2
84,48.2,4.2,5.6,3.6,7.0,1,2.22,7,53,4,17.0,3,21,11,10,2,1,1.2,100.0
85,60.9,2.3,3.8,4.9,7.6,3,7.2,6,40,4,9.4,1,38,19,14,6,1,3.9,95.1
86,73.8,1.9,7.7,6.3,8.1,0,12.28,9,48,11,3.4,3,27,15,8,1,2,15.5,94.2
87,58.0,8.2,5.7,6.2,6.4,3,10.69,11,55,8,3.9,2,55,7,10,5,2,6.5,91.9
88,47.0,6.6,6.9,4.7,5.6,1,10.48,5,46,6,1.7,6,55,15,11,1,1,12.9,86.9
89,37.0,1.4,4.4,2.4,5.5,5,3.12,12,46,2,8.4,1,16,10,8,4,2,8.6,84.7
90,58.3,6.2,6.1,4.9,8.8,1,4.21,12,38,13,5.2,2,12,21,9,6,4,4.8,81.3
91,52.4,3.4,6.3,5.5,7.8,1,5.45,14,30,21,12.1,3,17,10,4,4,3,9.4,89.0
