empleado_id,sede,area,genero,educacion_nivel,antiguedad_anios,grupo_fruta
1,Buenos Aires,Ventas,Masculino,Universitario,8,Tratamiento
2,Mar del Plata,Ingenieria,Femenino,Posgrado,8,Control
3,Mendoza,Producto,Femenino,Universitario,4,Tratamiento
4,Rosario,Producto,Masculino,Universitario,1,Tratamiento
5,Rosario,Operaciones,Masculino,Posgrado,3,Tratamiento
6,Bahia Blanca,Producto,Masculino,Universitario,9,Control
7,Buenos Aires,Ingenieria,Masculino,Universitario,10,Tratamiento
8,Mar del Plata,Ventas,Femenino,Universitario,11,Control
9,Cordoba,Ingenieria,Femenino,Terciario,2,Control
10,Buenos Aires,Ingenieria,Femenino,Universitario,7,Tratamiento
11,Mendoza,Producto,Masculino,Terciario,1,Tratamiento
12,Bahia Blanca,Ingenieria,Masculino,Terciario,8,Control
13,Mar del Plata,Ingenieria,Masculino,Universitario,4,Control
14,Mar del Plata,Ingenieria,No binario,Universitario,8,Control
15,Mar del Plata,Ingenieria,No binario,Posgrado,8,Control
16,Mar del Plata,Ingenieria,Masculino,Terciario,11,Control
17,Mendoza,Ingenieria,Femenino,Terciario,5,Tratamiento
18,Buenos Aires,Ventas,Femenino,Posgrado,4,Tratamiento
19,Bahia Blanca,Ingenieria,Femenino,Terciario,6,Control
20,Rosario,RRHH,Masculino,Terciario,1,Tratamiento
21,Mendoza,Operaciones,Femenino,Terciario,1,Tratamiento
22,Rosario,Producto,Masculino,Universitario,6,Tratamiento
23,Cordoba,Ingenieria,Masculino,Posgrado,9,Control
24,Bahia Blanca,Producto,Masculino,Universitario,6,Control
25,Mar del Plata,Operaciones,Femenino,Universitario,9,Control
26,Mendoza,Ventas,Femenino,Terciario,2,Tratamiento
27,Rosario,Operaciones,Femenino,Universitario,5,Tratamiento
28,Mar del Plata,Producto,Masculino,Universitario,7,Control
29,Mendoza,Ventas,Masculino,Terciario,4,Tratamiento
30,Rosario,Ingenieria,Masculino,Terciario,0,Tratamiento
31,Rosario,Ventas,Femenino,Terciario,0,Tratamiento
32,Cordoba,Ingenieria,Femenino,Terciario,11,Control
33,Buenos Aires,Ventas,Femenino,Universitario,7,Tratamiento
34,Mendoza,Operaciones,Masculino,Universitario,3,Tratamiento
35,Bahia Blanca,Ingenieria,Masculino,Secundario,3,Control
36,Buenos Aires,Ventas,Femenino,Universitario,0,Tratamiento
37,Bahia Blanca,Ingenieria,Masculino,Universitario,11,Control
38,Mar del Plata,Ventas,Femenino,Universitario,1,Control
39,Cordoba,Ingenieria,Masculino,Posgrado,9,Control
40,Mendoza,RRHH,Femenino,Universitario,2,Tratamiento
41,Buenos Aires,Ingenieria,Femenino,Posgrado,4,Tratamiento
42,Mar del Plata,RRHH,Masculino,Terciario,3,Control
43,Mar del Plata,Operaciones,Femenino,Universitario,9,Control
44,Rosario,Producto,Femenino,Terciario,0,Tratamiento
45,Buenos Aires,Ventas,Masculino,Universitario,4,Tratamiento
46,Bahia Blanca,Ventas,Femenino,Universitario,3,Control
47,Rosario,RRHH,Masculino,Terciario,3,Tratamiento
48,Bahia Blanca,Ingenieria,Masculino,Universitario,2,Control
49,Mar del Plata,Producto,Masculino,Terciario,10,Control
50,Mar del Plata,Ingenieria,Femenino,Terciario,4,Control
51,Mar del Plata,Ventas,Masculino,Terciario,5,Control
52,Cordoba,Ingenieria,Femenino,Universitario,4,Control
53,Rosario,Producto,Femenino,Terciario,11,Tratamiento
54,Rosario,Producto,Femenino,Universitario,4,Tratamiento
55,Rosario,Producto,Masculino,Terciario,4,Tratamiento
