empleado_id,faltas_mes,weeklys_perdidas,minutos_camara_weekly,renuncia
1,3,0,45.0,No
2,1,3,35.6,No
3,1,2,31.7,No
4,0,4,30.4,No
5,0,4,45.0,No
6,4,1,30.4,Si
7,1,0,30.9,No
8,0,1,34.5,No
9,0,0,38.5,No
10,1,1,34.9,No
11,1,5,26.8,Si
12,0,1,41.4,No
13,1,0,27.5,No
14,1,0,43.4,No
15,2,0,41.3,No
16,1,4,30.2,No
17,1,2,31.0,No
18,0,2,29.5,No
19,1,0,34.4,No
20,0,3,28.4,No
21,4,4,21.3,Si
22,2,3,34.6,No
23,0,1,34.1,No
24,0,4,36.2,No
25,0,0,28.8,No
26,3,1,34.6,No
27,3,3,34.4,No
28,0,2,25.0,Si
29,0,0,29.7,No
30,3,3,22.8,No
31,2,0,40.4,No
32,2,0,23.8,No
33,2,2,39.7,No
34,2,2,18.9,Si
35,4,3,28.5,No
36,0,2,29.0,No
37,1,0,39.2,No
38,1,1,22.4,No
39,0,5,41.1,No
40,2,0,35.5,No
41,0,2,22.3,No
42,1,2,24.3,No
43,1,2,45.0,No
44,1,2,28.8,Si
45,0,1,44.9,No
46,4,0,21.0,Si
47,2,1,27.8,No
48,5,3,13.3,Si
49,1,0,28.6,No
50,1,5,29.0,No
51,6,7,23.0,Si
52,3,1,27.4,No
53,2,1,34.9,No
54,0,6,21.5,No
55,3,3,14.7,Si
56,0,1,39.5,No
57,2,4,42.3,No
58,0,1,42.5,No
59,0,0,38.0,No
60,2,1,39.1,No
61,0,0,26.7,No
62,0,1,41.0,No
63,2,0,40.2,No
64,2,3,26.3,Si
65,1,0,41.2,No
66,0,0,27.2,Si
67,1,1,35.1,No
68,2,1,30.5,No
69,1,0,32.2,No
70,2,1,35.8,No
71,0,2,24.1,No
72,1,1,39.7,No
73,0,3,43.4,No
74,0,0,31.0,No
75,1,3,18.3,No
76,1,0,33.2,No
77,0,2,42.6,No
78,2,0,36.5,No
79,0,1,35.0,No
80,1,0,33.1,No
81,1,0,45.0,No
82,2,3,42.2,No
83,1,1,34.0,No
84,1,4,32.0,Si
85,3,4,26.6,Si
86,3,1,29.4,No
87,2,2,30.5,No
88,0,1,37.3,No
89,3,2,26.6,No
90,3,6,13.2,Si
91,1,1,28.2,No
92,3,5,25.3,Si
93,2,0,35.6,No
94,1,2,42.4,No
95,3,1,35.1,No
96,0,0,36.0,No
97,2,5,32.6,No
98,0,3,32.1,No
99,0,0,39.4,No
100,3,9,23.1,Si
101,0,2,42.6,No
102,1,0,28.6,No
103,1,2,31.6,No
104,1,1,28.2,No
105,1,1,27.6,No
106,2,1,34.6,No
107,0,2,32.2,No
108,3,0,42.1,No
109,0,2,42.5,No
110,2,0,31.3,No
111,1,2,31.2,No
112,1,1,37.0,No
113,1,2,38.0,No
114,0,2,34.9,No
115,0,1,45.0,No
116,4,9,21.6,Si
117,4,5,19.8,Si
118,0,4,24.3,Si
119,0,0,39.4,No
120,3,2,36.8,No
121,4,0,32.0,No
122,2,0,43.4,No
123,2,0,36.5,No
124,0,1,36.1,No
125,4,5,36.9,No
126,3,0,40.9,No
127,0,4,22.2,Si
128,1,1,31.1,No
129,2,6,15.1,Si
130,0,0,33.2,No
131,3,2,26.6,No
132,0,2,29.6,No
133,2,3,35.4,No
134,0,1,41.3,No
135,0,2,39.1,No
136,0,6,45.0,No
137,0,1,32.8,No
138,1,2,30.7,No
139,3,1,30.7,No
140,1,0,33.8,No
141,0,0,35.0,No
142,1,3,33.6,No
143,1,0,33.0,No
144,1,3,43.8,No
145,4,3,20.6,Si
146,2,3,35.1,No
147,0,3,27.6,No
148,0,1,32.6,No
149,2,2,41.8,No
150,1,1,39.2,No
151,1,5,28.4,No
152,1,3,17.7,Si
153,0,2,24.7,No
154,3,7,21.7,Si
155,0,1,45.0,No
156,1,2,42.7,No
157,1,0,31.2,No
158,1,0,38.9,No
159,1,1,32.5,No
160,1,8,18.1,Si
161,3,6,22.8,Si
162,0,2,26.8,No
163,1,0,35.4,No
164,2,1,32.1,No
165,4,0,33.6,No
166,0,2,32.9,No
167,1,2,45.0,No
168,3,3,24.4,Si
169,1,1,29.6,No
170,2,2,33.9,No
171,2,0,34.5,No
172,1,2,32.0,No
173,0,0,36.9,No
174,5,1,26.3,No
175,1,1,33.9,No
176,1,0,41.1,No
177,2,0,39.3,No
178,4,2,16.8,Si
179,2,3,40.3,No
180,1,0,33.6,No
181,2,0,42.3,No
182,0,1,31.7,No
183,0,1,34.1,No
184,1,4,30.6,No
185,4,6,24.2,Si
186,4,6,25.3,Si
187,0,2,29.7,No
188,1,4,30.0,No
189,2,2,42.0,No
190,1,0,33.2,No
191,2,3,43.2,No
192,0,0,40.2,No
193,3,4,15.4,Si
194,2,2,41.4,No
195,4,0,37.9,No
196,1,0,34.3,No
197,2,0,34.5,No
198,2,1,41.4,No
199,4,2,33.5,No
200,1,0,32.4,No
201,0,1,34.0,No
202,6,3,29.7,No
203,1,1,38.5,No
204,2,0,38.6,No
205,1,2,38.4,No
206,0,0,45.0,No
207,1,3,32.1,No
208,1,3,24.7,Si
209,1,0,37.9,No
210,2,2,32.0,No
211,1,6,17.9,Si
212,2,1,36.9,No
213,1,0,31.4,No
214,1,4,38.6,No
215,0,0,33.3,No
216,2,0,27.8,No
217,1,1,37.9,No
218,0,3,39.7,No
219,0,0,43.0,No
220,0,2,32.9,No
221,0,4,32.7,No
222,1,2,37.7,No
223,1,2,45.0,No
224,0,1,33.9,No
225,2,3,31.0,No
226,4,5,15.9,Si
227,3,7,26.0,Si
228,2,3,42.9,No
229,6,5,24.2,Si
230,3,5,27.8,Si
231,0,0,44.8,No
232,3,5,31.9,No
233,2,0,33.4,No
234,2,4,18.6,Si
235,2,0,38.8,No
236,0,2,45.0,No
237,3,0,28.9,No
238,0,2,35.3,No
239,1,6,30.0,No
240,1,2,44.5,No
241,1,0,39.3,No
242,3,2,24.3,Si
243,0,1,36.2,No
244,0,0,37.2,No
245,2,1,39.1,No
246,1,1,40.8,No
247,0,2,31.4,No
248,0,6,33.8,No
249,2,3,25.5,Si
250,1,1,37.9,No
251,0,1,35.2,No
252,1,3,24.5,No
253,3,2,32.3,No
254,1,1,34.8,No
255,1,8,16.3,Si
256,2,5,40.1,No
257,5,9,15.0,Si
258,1,0,35.0,No
259,2,2,40.8,No
260,4,0,41.5,No
261,3,3,24.1,No
262,0,1,40.1,No
263,0,2,39.1,No
264,3,7,19.9,Si
265,5,1,30.4,No
266,1,1,37.2,No
267,1,0,36.6,No
268,1,5,22.3,No
269,1,0,34.4,No
270,1,0,30.8,No
271,1,4,36.3,No
272,0,0,41.5,No
273,4,7,28.4,Si
274,0,0,38.6,No
275,3,0,34.8,No
276,0,0,37.8,No
277,1,1,41.9,No
278,3,3,18.6,Si
279,0,4,30.5,No
280,1,0,37.3,No
281,5,1,32.6,No
282,1,5,30.6,No
283,0,4,27.8,Si
284,0,0,29.8,No
285,2,2,32.7,No
286,2,2,43.9,No
287,0,2,31.0,No
288,0,1,26.8,No
289,2,0,30.4,No
290,1,2,29.6,No
291,1,2,32.6,No
292,1,1,36.7,No
293,5,2,22.6,No
294,0,1,39.1,No
295,0,0,40.1,No
296,1,4,18.2,Si
297,1,1,44.9,No
298,3,1,44.1,No
299,5,5,23.1,Si
300,0,4,39.7,No
301,1,0,36.1,No
302,2,0,35.0,No
303,1,0,35.5,No
304,1,4,38.8,No
305,3,3,25.2,No
306,0,0,40.2,No
307,2,7,17.0,Si
308,2,1,41.2,No
309,0,2,41.7,No
310,1,1,37.0,No
311,3,2,25.4,Si
312,3,1,33.3,No
313,0,1,29.4,No
314,4,1,22.8,Si
315,0,1,41.8,No
316,0,0,39.1,No
317,4,4,22.8,Si
318,1,1,31.8,No
319,1,0,37.1,No
320,0,0,37.8,No
321,4,0,36.4,No
