fecha,tickets_empresas,tickets_particulares,tickets,feriado
2023-01-01,15,214,229,1
2023-01-02,110,63,173,0
2023-01-03,110,77,187,0
2023-01-04,104,55,159,0
2023-01-05,110,68,178,0
2023-01-06,75,102,177,0
2023-01-07,25,201,226,0
2023-01-08,12,218,230,0
2023-01-09,115,75,190,0
2023-01-10,113,72,185,0
2023-01-11,106,58,164,0
2023-01-12,98,63,161,0
2023-01-13,102,100,202,0
2023-01-14,21,183,204,0
2023-01-15,26,210,236,0
2023-01-16,109,78,187,0
2023-01-17,120,58,178,0
2023-01-18,85,71,156,0
2023-01-19,105,82,187,0
2023-01-20,76,86,162,0
2023-01-21,27,185,212,0
2023-01-22,14,180,194,0
2023-01-23,128,77,205,0
2023-01-24,109,61,170,0
2023-01-25,108,70,178,0
2023-01-26,107,63,170,0
2023-01-27,81,91,172,0
2023-01-28,16,194,210,0
2023-01-29,18,211,229,0
2023-01-30,110,67,177,0
2023-01-31,107,52,159,0
2023-02-01,100,61,161,0
2023-02-02,77,75,152,0
2023-02-03,90,112,202,0
2023-02-04,23,211,234,0
2023-02-05,14,217,231,0
2023-02-06,122,81,203,0
2023-02-07,110,56,166,0
2023-02-08,99,71,170,0
2023-02-09,104,60,164,0
2023-02-10,96,92,188,0
2023-02-11,33,173,206,0
2023-02-12,23,194,217,0
2023-02-13,123,63,186,0
2023-02-14,107,66,173,0
2023-02-15,108,71,179,0
2023-02-16,118,58,176,0
2023-02-17,91,117,208,0
2023-02-18,28,204,232,0
2023-02-19,22,212,234,0
2023-02-20,119,67,186,0
2023-02-21,97,60,157,0
2023-02-22,116,80,196,0
2023-02-23,106,76,182,0
2023-02-24,100,81,181,0
2023-02-25,22,201,223,0
2023-02-26,21,217,238,0
2023-02-27,107,57,164,0
2023-02-28,136,66,202,0
2023-03-01,119,73,192,0
2023-03-02,116,55,171,0
2023-03-03,117,87,204,0
2023-03-04,37,194,231,0
2023-03-05,20,192,212,0
2023-03-06,114,58,172,0
2023-03-07,118,80,198,0
2023-03-08,120,50,170,0
2023-03-09,113,58,171,0
2023-03-10,96,104,200,0
2023-03-11,20,186,206,0
2023-03-12,17,237,254,0
2023-03-13,143,71,214,0
2023-03-14,127,63,190,0
2023-03-15,106,71,177,0
2023-03-16,105,65,170,0
2023-03-17,105,87,192,0
2023-03-18,46,199,245,0
2023-03-19,25,208,233,0
2023-03-20,124,68,192,0
2023-03-21,115,61,176,0
2023-03-22,98,74,172,0
2023-03-23,119,69,188,0
2023-03-24,29,92,121,1
2023-03-25,23,194,217,0
2023-03-26,20,204,224,0
2023-03-27,119,59,178,0
2023-03-28,127,53,180,0
2023-03-29,119,64,183,0
2023-03-30,113,72,185,0
2023-03-31,108,92,200,0
2023-04-01,28,160,188,0
2023-04-02,19,217,236,1
2023-04-03,155,68,223,0
2023-04-04,144,57,201,0
2023-04-05,130,52,182,0
2023-04-06,164,67,231,0
2023-04-07,116,87,203,0
2023-04-08,25,170,195,0
2023-04-09,24,199,223,0
2023-04-10,136,82,218,0
2023-04-11,164,60,224,0
2023-04-12,142,60,202,0
2023-04-13,140,78,218,0
2023-04-14,108,90,198,0
2023-04-15,26,202,228,0
2023-04-16,20,191,211,0
2023-04-17,149,67,216,0
2023-04-18,126,66,192,0
2023-04-19,112,58,170,0
2023-04-20,140,58,198,0
2023-04-21,109,109,218,0
